"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-04-04 12:00:00",1,289.2,9.999e+20,9.999e+20,9.999e+20,59.4,-0.64,1.25,0.0066799996,101159.266,9.999e+20
"2020-04-04 18:00:00",1,304.4,327,689,0,20.7,-0.45999998,0.95,0.00588,100996.4,6
"2020-04-05 00:00:00",1,294.5,354,529,0,44.100002,0.08,-0.65,0.00695,100825.336,39
"2020-04-05 06:00:00",1,291.6,347,0,0,68.8,-0.17,-1.8,0.009029999,101000.695,71
"2020-04-05 12:00:00",1,291.30002,355,2,1.5e-05,86.9,0.14999999,-0.59999996,0.011179999,101166.875,77
"2020-04-05 18:00:00",1,296.2,380,259,5.6e-05,63.100002,-1.37,-1.63,0.01098,101321.336,94
"2020-04-06 00:00:00",1,294,369,475,1e-05,67.200005,-0.26,-3.23,0.010249999,101322.35,24
"2020-04-06 06:00:00",1,289.4,339,0,0,95.3,0.41,-1.76,0.01086,101506.12,1
"2020-04-06 12:00:00",1,289.80002,329,10,0,93.3,0.48,-1.36,0.01086,101597.7,0
"2020-04-06 18:00:00",1,301.30002,348,683,0,35.4,1.48,-2.06,0.00837,101582,0
"2020-04-07 00:00:00",1,296.4,376,476,0,51.5,1.74,-2.8,0.00904,101464.14,33
"2020-04-07 06:00:00",1,290.7,345,0,0,78.8,2.5,-0.41,0.00975,101555.625,48
"2020-04-07 12:00:00",1,290.1,344,6,0,80.8,2.1299999,0.12,0.00963,101531.195,64
"2020-04-07 18:00:00",1,301.9,367,626,0,39.4,3.85,2.52,0.00968,101299.79,28
"2020-04-08 00:00:00",1,297.2,414,225,4e-06,63.8,1.3299999,3.84,0.0117999995,101038.79,75
"2020-04-08 06:00:00",1,293.80002,380,0,2e-06,94.8,1.35,3.7099998,0.01433,100931.52,37
"2020-04-08 12:00:00",1,295,399,5,4e-06,91.8,0.9,3.61,0.01495,100862.87,64
"2020-04-08 18:00:00",1,302.80002,412,546,8.7e-05,57.9,-0.71999997,5.3199997,0.01507,100746.9,44
"2020-04-09 00:00:00",1,298.7,411,446,0.000155,72.6,0.65,2.62,0.014839999,100703.05,74
"2020-04-09 06:00:00",1,294.7,383,0,0,91.5,0.72999996,3.1299999,0.014599999,100774.19,59
"2020-04-09 12:00:00",1,293.4,366,7,0,96.3,0.29,2.04,0.014239999,100742.625,33
"2020-04-09 18:00:00",1,302,397,609,7.8e-05,61.600002,1.5,3.6999998,0.015339999,100553.87,24
"2020-04-10 00:00:00",1,296.9,399,496,0.000337,87.5,0.38,2.96,0.01604,100515.125,74
"2020-04-10 06:00:00",1,294.5,390,0,0,96.3,2.35,2.76,0.01524,100546.64,94
"2020-04-10 12:00:00",1,295.30002,404,2,1.3e-05,94.4,1.11,2.9299998,0.01566,100595.586,94
"2020-04-10 18:00:00",1,297.5,416,261,0.000185,80.5,-1.73,3.6999998,0.01535,100615.88,89
"2020-04-11 00:00:00",1,293.1,401,90,0.000158,94.200005,0.85999995,2.55,0.01364,100733.61,93
"2020-04-11 06:00:00",1,290.4,374,0,1.5e-05,94.6,-3.04,1.22,0.01157,100923.65,93
"2020-04-11 12:00:00",1,286.4,338,4,0,73.9,-2.36,-0.07,0.00696,101197.836,77
"2020-04-11 18:00:00",1,298.5,341,633,0,38,-1.27,0.9,0.00762,101183.375,34
"2020-04-12 00:00:00",1,294.1,361,523,0,53.5,-1.9799999,-0.26,0.00822,101111.65,39
"2020-04-12 06:00:00",1,290.2,356,0,0,67,-0.84999996,-1.8,0.0080699995,101330.57,95
"2020-04-12 12:00:00",1,290.1,355,7,0,74.3,-0.37,-2.5,0.0089,101343.2,92
"2020-04-12 18:00:00",1,296.30002,381,450,8.5e-05,78.3,2.75,-2.19,0.01371,101348.305,87
"2020-04-13 00:00:00",1,293.7,399,96,0.000723,96.3,0.95,-3.24,0.014459999,101191.03,99
"2020-04-13 06:00:00",1,293.30002,400,0,0.001373,96.4,2.58,-5.06,0.014079999,101006.46,100
"2020-04-13 12:00:00",1,295.30002,399,6,0.000301,95.3,4.36,2.51,0.01573,100919.164,79
"2020-04-13 18:00:00",1,297.80002,409,251,0.000152,88.1,1.8399999,3.8,0.01687,101119.1,95
"2020-04-14 00:00:00",1,294.9,401,112,0.000103,93.3,1.35,1.5,0.01507,100996,98
"2020-04-14 06:00:00",1,293.2,389,0,4e-06,94.9,0.82,-0.75,0.01373,101234.24,90
"2020-04-14 12:00:00",1,293.1,392,6,0.000226,96.700005,0.26999998,-1.8499999,0.0139,101267.12,91
"2020-04-14 18:00:00",1,303,388,657,4.9e-05,56.600002,0.32,-0.9,0.01475,101262.195,20
"2020-04-15 00:00:00",1,294.7,387,495,0.000394,91.8,-1.8199999,-2.84,0.01456,101391.375,58
"2020-04-15 06:00:00",1,292.9,374,0,2e-06,97.9,-1.68,-1.5,0.013929999,101420.805,46
"2020-04-15 12:00:00",1,293.30002,371,6,3e-06,96.5,-1.79,-1.02,0.01402,101483.98,34
"2020-04-15 18:00:00",1,299,401,463,3.4e-05,67.6,-1.0799999,-1.91,0.013959999,101501.8,63
"2020-04-16 00:00:00",1,296.7,395,438,5e-06,77.200005,-0.69,-2.03,0.01389,101329.04,27
"2020-04-16 06:00:00",1,292.6,362,0,0,94.6,-0.21,-1.6899999,0.013169999,101429.83,7
"2020-04-16 12:00:00",1,293.1,363,5,5e-06,90.9,-0.57,-1.31,0.01303,101459.99,66
"2020-04-16 18:00:00",1,301.6,388,558,4.3e-05,55.7,1.3299999,-1.01,0.01339,101418.96,83
"2020-04-17 00:00:00",1,297,404,394,4.3e-05,74.5,0.17,-1.8199999,0.01364,101251.21,80
"2020-04-17 06:00:00",1,293.9,385,0,5.4e-05,91.3,1.73,-1.09,0.013809999,101344.27,96
"2020-04-17 12:00:00",1,293.5,380,5,0.000183,94.700005,2.27,-0.41,0.0139999995,101375.63,95
"2020-04-17 18:00:00",1,302.30002,390,606,8.8e-05,53.100002,1.9399999,0.98999995,0.01327,101370.586,57
"2020-04-18 00:00:00",1,297.4,403,484,4.1e-05,76.9,0.93,0.48,0.014409999,101249.75,21
"2020-04-18 06:00:00",1,294.30002,379,0,1.3e-05,88.700005,1.6899999,-0.53999996,0.013809999,101294.03,41
"2020-04-18 12:00:00",1,294.1,370,10,0,93.4,1.54,-1.65,0.0143,101399.4,27
"2020-04-18 18:00:00",1,303,388,673,1e-06,51.3,3.6,-2.22,0.0134,101273.89,31
"2020-04-19 00:00:00",1,298.1,402,485,4.5e-05,71.9,3.09,-2.82,0.01414,101115.586,38
"2020-04-19 06:00:00",1,295.4,398,0,2e-06,79.8,4.19,-1.6999999,0.0133,101172.195,84
"2020-04-19 12:00:00",1,294.5,375,9,0,82.9,4.1,0.08,0.013069999,101147.336,90
"2020-04-19 18:00:00",1,302.80002,391,638,4e-06,53.100002,4.81,4.46,0.01375,100992.016,67
"2020-04-20 00:00:00",1,297.30002,408,498,0.000168,85.700005,1.28,4.5,0.01595,100914.086,43
"2020-04-20 06:00:00",1,292,389,0,7.6e-05,87,-4.31,1.31,0.01181,101122.12,42
"2020-04-20 12:00:00",1,286.80002,312,13,0,73.9,-3.7099998,-0.31,0.00714,101454.24,2
"2020-04-04 12:00:00",2,288.7,9.999e+20,9.999e+20,9.999e+20,59.100002,-0.45999998,1.5,0.0064499998,101164.12,9.999e+20
"2020-04-04 18:00:00",2,303.80002,328,684,0,21.2,-0.53999996,1.24,0.0058299997,101032.21,23
"2020-04-05 00:00:00",2,294.6,356,527,0,45,0.24,-0.59,0.00714,100806.08,38
"2020-04-05 06:00:00",2,291.30002,348,0,0,66.700005,-0.11,-1.75,0.00864,100982.46,72
"2020-04-05 12:00:00",2,290.9,356,2,1.6e-05,80.9,0.42,1.43,0.0101499995,101186.305,82
"2020-04-05 18:00:00",2,301.80002,376,427,1.6e-05,38.600002,-0.77,-0.5,0.0094,101197.32,81
"2020-04-06 00:00:00",2,294.6,381,418,3.4e-05,65.9,-0.35,-3.47,0.01038,101282.836,44
"2020-04-06 06:00:00",2,290.30002,352,0,0,91.3,0.61,-1.81,0.01098,101492.25,13
"2020-04-06 12:00:00",2,290.5,337,10,0,91,0.63,-1.48,0.01109,101584.555,0
"2020-04-06 18:00:00",2,300,367,583,2e-06,44.7,1.56,-1.88,0.0098,101585.96,21
"2020-04-07 00:00:00",2,295.4,391,345,6e-06,60.5,1.13,-2.09,0.01005,101461.87,45
"2020-04-07 06:00:00",2,291.30002,355,0,0,76.6,2.72,-0.96,0.00981,101585.086,63
"2020-04-07 12:00:00",2,290.2,341,7,0,82.700005,2.3,0,0.00992,101534.52,45
"2020-04-07 18:00:00",2,302.4,363,669,0,39.8,4.83,2.22,0.010059999,101214.93,17
"2020-04-08 00:00:00",2,297.7,402,362,1e-06,66.4,3.3799999,5.17,0.012689999,100920.5,49
"2020-04-08 06:00:00",2,295.7,397,0,7e-06,85.8,1.8199999,5.74,0.01461,100815.484,54
"2020-04-08 12:00:00",2,295.9,416,4,1.5e-05,89.9,0.06,4.65,0.01547,100796.86,84
"2020-04-08 18:00:00",2,304.30002,412,522,4e-06,43.3,-1.81,4.42,0.01229,100639.086,48
"2020-04-09 00:00:00",2,299.1,402,495,0,56.100002,-1.15,1.66,0.01172,100667.19,26
"2020-04-09 06:00:00",2,293.6,367,0,0,83.4,-0.39,2.05,0.0124699995,100745.77,30
"2020-04-09 12:00:00",2,292.4,340,8,0,84.700005,-0.90999997,1.61,0.011709999,100751.77,6
"2020-04-09 18:00:00",2,306,368,684,0,26.9,0.76,3.27,0.008429999,100635.81,31
"2020-04-10 00:00:00",2,297.9,400,488,4.7e-05,70.3,-1.26,5.27,0.01361,100512.2,62
"2020-04-10 06:00:00",2,293.5,396,0,7.4999996e-05,91.4,0.19,1.0799999,0.01359,100675.79,66
"2020-04-10 12:00:00",2,291.9,362,5,0,89.8,-1.9599999,0.53,0.01208,100730.55,78
"2020-04-10 18:00:00",2,299.9,383,448,6e-06,49.3,-2.4299998,-0.38,0.01079,100770.8,91
"2020-04-11 00:00:00",2,292.9,407,169,0.000228,94.4,-2.57,-0.51,0.01347,100760.33,99
"2020-04-11 06:00:00",2,291.9,399,0,0.000102,97.200005,-1.01,-1.11,0.013049999,100720.6,98
"2020-04-11 12:00:00",2,291.6,393,2,4.4e-05,97,-2.04,-0.81,0.012739999,100892.08,99
"2020-04-11 18:00:00",2,293.6,398,158,0.000131,86.200005,-2.36,-1.18,0.01286,100751.46,95
"2020-04-12 00:00:00",2,293.80002,399,229,8e-06,84.4,0.37,-0.91999996,0.012759999,100781.65,69
"2020-04-12 06:00:00",2,291.30002,365,0,1.4e-05,95.4,-0.14,-0.35,0.012329999,100688.39,55
"2020-04-12 12:00:00",2,292,373,7,0.000181,97.4,-0.78,-0.07,0.013119999,100868.64,90
"2020-04-12 18:00:00",2,294.5,388,178,0.000777,92.1,1.87,-1.56,0.01454,100844,94
"2020-04-13 00:00:00",2,292.7,396,77,0.00094,96.5,1.79,-2.44,0.013669999,100507.61,99
"2020-04-13 06:00:00",2,293.1,396,0,0.001392,97,1.8499999,-3.12,0.01406,100400.586,100
"2020-04-13 12:00:00",2,293.6,398,6,0.000214,97.5,0.55,2.46,0.014629999,100237.66,85
"2020-04-13 18:00:00",2,293.6,399,260,0.00028,88.9,-5.73,-3.08,0.013259999,100802.14,67
"2020-04-14 00:00:00",2,293.7,392,321,9e-06,80.3,-3.98,-3.12,0.01208,100889.305,79
"2020-04-14 06:00:00",2,291.7,391,0,1.6e-05,84.1,-4.18,-3.84,0.01109,101324.88,76
"2020-04-14 12:00:00",2,291.80002,384,3,1.2e-05,84.3,-3.6699998,-3.51,0.01119,101325.27,71
"2020-04-14 18:00:00",2,296,397,340,2.8e-05,69.8,-2.1499999,-5.68,0.01203,101371.21,79
"2020-04-15 00:00:00",2,294,387,371,2.6e-05,76.9,-1.3399999,-4.63,0.0116799995,101677.08,53
"2020-04-15 06:00:00",2,292.30002,366,0,1e-06,82.3,-0.14,-4.15,0.01129,101611.31,33
"2020-04-15 12:00:00",2,291.9,341,10,0,80,-0.77,-4.5099998,0.010629999,101735.33,5
"2020-04-15 18:00:00",2,295.4,369,442,6e-06,64,2.09,-6.02,0.010629999,101618.89,51
"2020-04-16 00:00:00",2,293.7,389,185,5e-06,75,0.71999997,-3.99,0.01117,101562.125,99
"2020-04-16 06:00:00",2,292.6,362,0,0,81.5,0.84,-3.86,0.011299999,101717.44,97
"2020-04-16 12:00:00",2,292.80002,362,6,1.5e-05,85.6,1.42,-3.77,0.0121,101361.75,93
"2020-04-16 18:00:00",2,294,390,160,0.00052,91.200005,2.3999999,-4.45,0.013859999,101722.21,94
"2020-04-17 00:00:00",2,293.4,399,75,0.001096,94.700005,3.22,-1.28,0.013959999,100982.98,93
"2020-04-17 06:00:00",2,292.7,382,0,0.000164,96.700005,3.01,0.58,0.013599999,101281.86,81
"2020-04-17 12:00:00",2,292.80002,387,6,5.3e-05,96.5,2.45,0.89,0.01371,101055.48,91
"2020-04-17 18:00:00",2,300.5,393,629,8.6e-05,65.200005,-1.31,2.58,0.01475,101078.92,32
"2020-04-18 00:00:00",2,297.2,407,470,5.3e-05,77.200005,-3,-0.41,0.014269999,101380.92,35
"2020-04-18 06:00:00",2,292.5,368,0,0,92.200005,-2.12,1.13,0.012759999,101281.055,10
"2020-04-18 12:00:00",2,290.80002,344,11,0,81.6,-3.07,-0.099999994,0.01009,102063.48,2
"2020-04-18 18:00:00",2,293.5,386,300,2.3e-05,79.700005,-3.5,-4.0899997,0.01172,101553.09,64
"2020-04-19 00:00:00",2,291.7,377,327,3e-06,73.9,-3.22,-4.33,0.00968,102284.05,76
"2020-04-19 06:00:00",2,289.2,335,0,1e-06,81,-1.5699999,-3.33,0.00908,101685.695,33
"2020-04-19 12:00:00",2,289.5,325,9,0,81.4,-1.75,-2.1699998,0.00925,102049.664,47
"2020-04-19 18:00:00",2,294.2,365,447,1.3e-05,65.4,-1.52,-5.94,0.00999,101960.836,71
