"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-04-07 06:00:00",1,289.5,9.999e+20,9.999e+20,9.999e+20,89.200005,1.14,-0.26999998,0.010179999,101569.12,9.999e+20
"2020-04-07 12:00:00",1,290.5,333,7,0,86.1,1.24,0.19999999,0.010489999,101582.836,4
"2020-04-07 18:00:00",1,303.7,359,676,0,31.5,1.53,-0.63,0.00859,101380.87,0
"2020-04-08 00:00:00",1,297.4,384,517,0,53.100002,1.52,0.45999998,0.00998,101110.914,9
"2020-04-08 06:00:00",1,292.80002,374,0,0,81.700005,1.1899999,1.6899999,0.01158,101087.055,28
"2020-04-08 12:00:00",1,291.9,351,7,0,94.1,1.3299999,2.6399999,0.01263,100971.016,2
"2020-04-08 18:00:00",1,301.7,396,565,1.9e-05,58.7,-0.26,5.35,0.0143099995,100804.54,21
"2020-04-09 00:00:00",1,299.4,415,435,2.2e-05,66.4,1.2099999,4.15,0.0141199995,100586.83,26
"2020-04-09 06:00:00",1,295.2,383,0,0,89.6,0.79999995,3.9499998,0.01476,100609.27,22
"2020-04-09 12:00:00",1,294.9,392,4,4e-06,90.700005,-0.11,3.82,0.01474,100600.26,44
"2020-04-09 18:00:00",1,305.30002,405,587,2e-06,38.5,0.08,5.06,0.0116,100455.58,66
"2020-04-10 00:00:00",1,300.80002,410,495,3e-06,51.600002,1.8199999,4.14,0.011969999,100277.52,27
"2020-04-10 06:00:00",1,293.80002,374,0,6.1e-05,91.4,-0.7,2.6399999,0.0138799995,100508.8,42
"2020-04-10 12:00:00",1,287,362,1,2.8e-05,61.5,-3.99,0.35999998,0.00603,100983.78,79
"2020-04-10 18:00:00",1,285.30002,355,89,1e-04,74.5,-2.52,0.82,0.0065099997,101165.15,97
"2020-04-11 00:00:00",1,285.5,340,181,1e-05,65.4,0.089999996,0.88,0.0058,101071.586,70
"2020-04-11 06:00:00",1,283.30002,288,0,0,62.8,-1.63,0.56,0.0047999998,101238.805,4
"2020-04-11 12:00:00",1,283,286,6,0,54.3,-2.19,-0.58,0.00407,101418.6,56
"2020-04-11 18:00:00",1,297.9,313,645,0,22.7,-0.42,-1.5,0.00438,101340.41,82
"2020-04-12 00:00:00",1,292,349,406,0,44.3,0.16,-2.46,0.0059599997,101258.78,95
"2020-04-12 06:00:00",1,290.80002,353,0,1e-06,65.4,2.73,-3.26,0.008169999,101023.24,98
"2020-04-12 12:00:00",1,292,367,7,2.4e-05,91.3,3.3899999,-2.77,0.01231,100914.33,82
"2020-04-12 18:00:00",1,302.2,412,351,7e-06,56.7,8.04,0.29999998,0.01425,100655.65,86
"2020-04-13 00:00:00",1,299.4,410,325,0.000146,60.2,5.0499997,2.56,0.012809999,100483.836,96
"2020-04-13 06:00:00",1,297.2,385,0,1.6e-05,77.4,6.33,1.7199999,0.01445,100478.12,32
"2020-04-13 12:00:00",1,295.9,401,4,0.00078,90.8,5.89,5.69,0.01566,100484.27,61
"2020-04-13 18:00:00",1,303.4,407,497,0.000341,49.7,0.17,4.41,0.013409999,100586.75,47
"2020-04-14 00:00:00",1,298.1,389,522,0,54.600002,0.19999999,2.6499999,0.01078,100653.45,5
"2020-04-14 06:00:00",1,291.4,342,0,0,81,-0.82,0.65,0.01055,100990.02,0
"2020-04-14 12:00:00",1,292.5,331,10,0,75.8,-0.44,-1.5999999,0.0105099995,101094.94,0
"2020-04-14 18:00:00",1,304.6,351,722,0,27.800001,1.87,-1.68,0.007999999,101009.586,0
"2020-04-15 00:00:00",1,298.7,374,549,0,59.100002,1.9399999,-2.19,0.012019999,100823.42,3
"2020-04-15 06:00:00",1,294.30002,381,0,3.2e-05,86,2.3899999,0.94,0.013409999,100811.25,63
"2020-04-15 12:00:00",1,294.9,393,2,0.000263,94.700005,3.73,0.88,0.01529,100843.15,94
"2020-04-15 18:00:00",1,297.7,412,258,0.000268,87.5,4.5899997,4.75,0.01682,100678.336,91
"2020-04-16 00:00:00",1,295.5,414,258,0.00036499999,92.700005,1.66,4.44,0.01562,100630.59,84
"2020-04-16 06:00:00",1,289.4,397,0,0.000111,76.1,-4.46,1.01,0.00876,100984.1,88
"2020-04-16 12:00:00",1,285.4,361,3,6.2e-05,66.3,-3.58,-0.03,0.00581,101320.56,88
"2020-04-16 18:00:00",1,288.6,367,116,7.7e-05,75.5,-2.6499999,-0.89,0.00815,101420.79,96
"2020-04-17 00:00:00",1,289.4,368,142,1.6e-05,78.1,-1.6999999,-1.5699999,0.00888,101462.555,94
"2020-04-17 06:00:00",1,288.1,365,0,1.1e-05,85,-2.05,-0.48999998,0.008909999,101576.22,92
"2020-04-17 12:00:00",1,286.6,316,12,0,88.6,-2.79,-0.29,0.00837,101687.47,21
"2020-04-17 18:00:00",1,296.5,318,728,0,46.3,-1.8299999,-3.37,0.0081899995,101643.68,6
"2020-04-18 00:00:00",1,292.80002,347,498,1e-06,71.1,-0.14999999,-3.1999998,0.01,101489.62,17
"2020-04-18 06:00:00",1,289.2,330,0,0,96.1,1,-1.48,0.010799999,101397.414,2
"2020-04-18 12:00:00",1,290.4,328,12,0,96.1,0.25,0.19999999,0.0116799995,101336.875,31
"2020-04-18 18:00:00",1,300.5,363,669,2e-05,49.3,2.01,1.4499999,0.01117,100994.2,15
"2020-04-19 00:00:00",1,296.7,375,525,7e-06,56.4,1.89,4.24,0.01022,100676.336,11
"2020-04-19 06:00:00",1,290.9,329,0,0,65.200005,-2.1,4.0499997,0.0082,100908.07,5
"2020-04-19 12:00:00",1,283.80002,303,13,0,62.3,-4.74,1.0799999,0.0049199997,101346.62,30
"2020-04-19 18:00:00",1,293.1,281,757,0,41.8,-2.78,-2.53,0.00599,101409.39,1
"2020-04-20 00:00:00",1,289.4,305,572,0,55.9,-0.78,-3.8899999,0.00635,101439.38,5
"2020-04-20 06:00:00",1,286.6,311,0,0,65.700005,-0.78,-2.6599998,0.0062499996,101440.41,82
"2020-04-20 12:00:00",1,287.5,329,5,0,65.1,-1.22,-2.23,0.00655,101453.31,97
"2020-04-20 18:00:00",1,291.6,353,200,1.6e-05,62.2,1.67,-2.83,0.00808,101481.56,99
"2020-04-21 00:00:00",1,288.7,364,128,0.000185,92.3,-0.84999996,-2.76,0.01003,101258.27,99
"2020-04-21 06:00:00",1,289.2,371,0,0.000998,96.1,-2.73,-2.77,0.0108199995,101086.62,98
"2020-04-21 12:00:00",1,289.80002,385,0,0.000647,93.6,-5.0099998,-5.7999997,0.01101,100824.64,99
"2020-04-21 18:00:00",1,290.7,389,58,0.000219,92.3,-4.81,-4.68,0.01146,100915.83,97
"2020-04-22 00:00:00",1,290.5,391,54,0.000186,92.700005,-6.64,-4.22,0.0113699995,100908.81,94
"2020-04-22 06:00:00",1,290.4,391,0,0.000184,92,-5.5499997,-4.45,0.0112,101040.53,97
