"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-04-05 18:00:00",1,293.6,9.999e+20,9.999e+20,9.999e+20,76,2.26,-0.099999994,0.01129,101367.51,9.999e+20
"2020-04-06 00:00:00",1,290.80002,370,147,6e-05,89.4,0.29,-1.52,0.011109999,101369.43,56
"2020-04-06 06:00:00",1,287.2,333,0,0,96.700005,-0.02,-0.64,0.00956,101455.07,3
"2020-04-06 12:00:00",1,289.1,328,10,0,95.200005,-1.6899999,-0.96,0.010609999,101524.78,1
"2020-04-06 18:00:00",1,300.2,353,664,2e-06,41.9,1.14,-3.3,0.00928,101490.27,6
"2020-04-07 00:00:00",1,295.1,373,482,3e-06,60.600002,1.13,-2.6399999,0.009819999,101433.125,16
"2020-04-07 06:00:00",1,290.4,345,0,0,84.200005,2.1399999,-0.85999995,0.01019,101547.914,23
"2020-04-07 12:00:00",1,290.2,336,7,0,88.6,1.6899999,0.38,0.01058,101559.45,22
"2020-04-07 18:00:00",1,303.9,365,669,0,34.9,1.38,0.089999996,0.009579999,101337.336,22
"2020-04-08 00:00:00",1,297.1,414,337,0,60.4,0,0.84999996,0.01115,101100.33,69
"2020-04-08 06:00:00",1,292.5,371,0,0,76,0.5,1.9499999,0.010609999,101060.06,30
"2020-04-08 12:00:00",1,291.4,349,7,0,91.6,0.72999996,2.02,0.01187,100985.28,9
"2020-04-08 18:00:00",1,301.9,392,564,3.2e-05,57.2,-0.38,5.14,0.01411,100834.79,26
"2020-04-09 00:00:00",1,298.30002,421,310,3.4e-05,73.5,0.74,2.97,0.0146699995,100689.18,53
"2020-04-09 06:00:00",1,294.30002,379,0,0,93.8,1.04,3.26,0.01466,100653.24,2
"2020-04-09 12:00:00",1,294.1,382,3,3e-06,93.1,0.29,3.46,0.01435,100666.18,43
"2020-04-09 18:00:00",1,304.1,406,574,1.3e-05,45.9,-0.32999998,4.61,0.01285,100524.21,50
"2020-04-10 00:00:00",1,299.80002,404,509,1.2e-05,61.9,2.18,4.0499997,0.013479999,100355.02,13
"2020-04-10 06:00:00",1,294.80002,377,0,2.4e-05,85.5,0.32,3.6699998,0.01376,100515.75,46
"2020-04-10 12:00:00",1,291.7,363,5,3e-06,57.8,-4.24,0.03,0.0076699997,100910.39,69
"2020-04-10 18:00:00",1,285.80002,366,233,6.7e-05,78.5,-3.76,-0.39,0.0069899997,101199.19,93
"2020-04-11 00:00:00",1,285.5,359,76,0.000406,94.200005,-1.13,0.38,0.00834,101229.125,95
"2020-04-11 06:00:00",1,284.9,338,0,4e-06,90.3,-1.42,-0.55,0.0076699997,101288.47,84
"2020-04-11 12:00:00",1,284.9,311,7,0,87.6,-1.81,-0.82,0.00745,101342.945,67
"2020-04-11 18:00:00",1,300.7,343,644,0,42.8,0.58,-0.22,0.009769999,101269.49,71
"2020-04-12 00:00:00",1,293.9,399,334,8e-06,72.700005,0.39,-2.06,0.010989999,101176.766,94
"2020-04-12 06:00:00",1,291.80002,385,0,5e-06,96.8,1.04,-1.91,0.01286,101043.21,99
