"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-04-09 12:00:00",1,296.2,9.999e+20,9.999e+20,9.999e+20,89.3,0.85999995,3.6899998,0.01572,100644.555,9.999e+20
"2020-04-09 18:00:00",1,304.5,408,540,1.7e-05,46.4,0.53999996,5.49,0.013359999,100461.4,37
"2020-04-10 00:00:00",1,299.7,408,497,7e-06,63.2,1.5799999,2.96,0.013739999,100301.99,11
"2020-04-10 06:00:00",1,294.4,377,0,3.7e-05,96.4,0.78,3.1299999,0.015199999,100521.63,44
"2020-04-10 12:00:00",1,290.5,375,4,5e-06,47.8,-4.74,-0.14,0.0058899997,100842.99,96
"2020-04-10 18:00:00",1,286.4,360,199,7.4e-05,81.3,-2.51,0.14999999,0.00764,101178.39,92
"2020-04-11 00:00:00",1,289.1,343,319,1e-06,50.2,-1.66,0.42999998,0.0055899997,101069.69,85
"2020-04-11 06:00:00",1,284.30002,294,0,0,49.7,-2.49,-0.35,0.0040599997,101343.12,64
"2020-04-11 12:00:00",1,283.4,280,8,0,59,-2.27,-0.66999996,0.00454,101439.9,79
"2020-04-11 18:00:00",1,298.5,299,728,0,27.2,1.4499999,-2.08,0.00543,101400.71,1
"2020-04-12 00:00:00",1,294.2,336,553,0,54.600002,0.65,-3.27,0.008429999,101206.93,0
"2020-04-12 06:00:00",1,291.7,344,0,0,85.3,2.81,-2.9299998,0.01127,101190.195,14
"2020-04-12 12:00:00",1,292.6,381,1,0.000242,96.1,2.1399999,-2.6599998,0.01344,101222.086,78
"2020-04-12 18:00:00",1,300.5,417,221,2.8e-05,67.1,6.0099998,-1.23,0.015149999,100996.87,92
"2020-04-13 00:00:00",1,297.5,408,364,0.000284,81.200005,4.4,-1.35,0.01535,100748.39,60
"2020-04-13 06:00:00",1,297.30002,379,0,0,74.5,6.3799996,1.1999999,0.01394,100727.586,7
"2020-04-13 12:00:00",1,296.4,399,2,0.000204,87.200005,6.0499997,3.4199998,0.01542,100808.43,70
"2020-04-13 18:00:00",1,303,410,376,0.000271,46.600002,2.33,4.8199997,0.01219,100913.195,62
"2020-04-14 00:00:00",1,297.4,373,542,0,54.600002,-1.37,2.6799998,0.010249999,101070.89,24
"2020-04-14 06:00:00",1,289.30002,337,0,0,53.5,-4.7,-0.28,0.0060699997,101558.94,65
"2020-04-14 12:00:00",1,286.2,342,2,0,53.3,-3.03,-2.07,0.0049,101692.2,96
